,area,type of property,bedrooms,bathrooms,price
829,Fota,1,3,3,215000
830,Cork City,0,1,1,118943
831,Blackpool,1,2,1,70500
832,Douglas,1,3,2,310000
833,Rochestown,0,1,1,180200
834,Cork City,0,2,1,202000
835,Passage West,1,5,3,325000
836,Douglas,1,4,2,430000
837,Douglas,1,3,3,223000
838,Tivoli,1,3,3,247500
839,Wilton,1,3,1,220000
840,Douglas,1,4,2,115500
841,Glanmire,1,3,3,255000
842,Glasheen,1,3,2,280000
843,Blackrock,1,3,2,287500
844,Little Island,1,4,3,267000
845,Blarney,1,3,2,230000
846,Ballyvolane,1,3,1,179700
847,Cork City,0,2,1,175000
848,Blackpool,0,2,1,123000
849,Douglas,1,3,1,470000
850,Glasheen,1,3,1,234000
851,Blackpool,1,4,2,107500
852,Gurranabraher,1,3,1,175000
853,Glanmire,1,4,3,270000
854,Douglas,1,4,3,420000
855,Douglas,1,3,1,380000
856,Cork City,1,3,1,210000
857,Ballyphehane,1,3,2,210000
858,Rochestown,1,3,3,322000
859,Glanmire,0,2,2,126000
860,Glasheen,1,3,1,270000
861,Victoria Cross,1,3,2,315000
862,Victoria Cross,1,3,2,315000
863,Rochestown,1,3,2,210000
864,Blackrock,0,3,1,195000
865,Dillons Cross,1,2,1,123000
866,Fota,1,4,4,275000
867,Douglas,1,4,3,605000
868,Glanmire,1,3,2,295000
869,Donnybrook,1,3,3,250000
870,Passage West,1,5,3,330000
871,Blackrock,1,3,1,285000
872,Douglas,1,4,2,440000
873,Rochestown,1,3,1,290000
874,Glanmire,1,3,1,235000
875,Bishopstown,1,4,2,450000
876,Passage West,1,4,4,940000
877,Douglas,1,3,3,263000
878,Douglas,0,2,2,252500
879,Rathpeacon,1,3,1,220000
880,Douglas,1,3,2,240000
881,Ballyvolane,1,4,2,285000
882,Blackrock,1,3,2,400000
883,Blackrock,0,2,1,230000
884,Bishopstown,1,4,2,430000
885,Ballyphehane,1,3,1,222000
886,Bishopstown,1,4,2,300000
887,Blarney,1,5,3,380000
888,Wilton,1,3,1,285000
889,Douglas,0,3,1,295000
890,Douglas,0,3,3,271000
891,Rochestown,1,2,3,280000
892,Passage West,1,2,2,206250
893,Rochestown,1,4,2,467500
894,Glanmire,1,3,3,240000
895,Ballinlough,1,3,2,295000
896,Rochestown,1,3,3,340000
897,Rochestown,1,4,2,410000
898,Cork City,1,3,2,195000
899,Rochestown,1,4,2,479000
900,Model Farm Road,1,2,2,225000
901,Blackrock,0,2,2,250000
902,Ovens,0,2,2,192500
903,Douglas,1,3,2,315500
904,Ovens,1,4,2,405000
905,Glanmire,1,4,3,260000
906,Model Farm Road,1,3,1,222000
907,Bishopstown,1,4,2,365000
908,Cork City,1,3,2,216785
909,Rochestown,1,3,2,34529
910,Rochestown,1,3,2,275000
911,Douglas,1,4,3,415000
912,Ovens,1,4,3,650000
913,Douglas,0,3,3,230000
914,Killeens,1,4,3,212000
915,Douglas,1,3,1,200000
916,Douglas,1,3,2,265000
917,Passage West,1,2,2,127500
918,Ballyvolane,1,5,5,419950
919,Douglas,1,3,3,180909
920,Douglas,1,5,4,950000
921,Togher,1,4,2,205000
922,Rochestown,1,2,1,145000
923,Douglas,1,4,2,310000
924,Ovens,1,3,2,240000
925,Mahon,1,3,1,173500
926,Cork City,1,2,1,134000
927,Ballinlough,1,3,3,270000
928,Douglas,0,2,2,220000
929,Blarney,0,2,1,215000
930,Blackpool,0,3,2,90000
931,Douglas,1,3,1,455000
932,Passage West,0,2,2,160000
933,Model Farm Road,0,3,3,225000
934,Cloghroe,1,4,2,100000
935,Blackrock,1,4,4,755000
936,Douglas,1,4,2,418000
937,Ovens,1,3,3,290000
938,Rochestown,1,3,1,310000
939,Killeens,1,5,4,520000
940,Blackrock,1,3,3,393000
941,Glanmire,1,4,2,310000
942,Wilton,1,3,2,227000
943,Glasheen,0,2,1,180000
944,Cork City,1,2,1,118000
945,Douglas,1,3,2,248000
946,Ballinlough,1,4,1,370000
947,Little Island,1,4,3,220000
948,Togher,1,3,1,230000
949,Douglas,1,3,2,290000
950,Wilton,1,3,1,260000
951,Glanmire,1,3,3,270000
952,Blackrock,0,3,2,250000
953,Bishopstown,1,3,1,269000
954,Rochestown,1,3,1,194000
955,Ballinlough,1,3,1,265000
956,Wilton,1,3,1,201848
957,Rochestown,0,2,1,185000
958,Ovens,1,4,2,360000
959,Blackrock,1,3,1,360000
960,Ovens,1,3,1,227000
961,Fairhill,1,3,1,160000
962,Blackrock,1,3,1,380000
963,Blarney,1,3,1,226000
964,Ovens,1,4,2,275000
965,Wilton,1,3,1,235000
966,Banduff,1,4,3,210000
967,Wilton,1,4,2,265000
968,Grange,1,4,3,278000
969,Ballinlough,1,3,2,325000
970,Ballyvolane,1,3,3,270000
971,Wilton,0,2,2,220000
972,Cork City,1,2,1,155000
973,Passage West,0,2,1,164500
974,Glanmire,1,4,3,370000
975,Douglas,1,4,1,350000
976,Wilton,1,3,3,250000
977,Glanmire,1,4,2,285000
978,Douglas,1,2,1,251000
979,Passage West,0,2,2,123000
980,Douglas,1,3,3,306450
981,Douglas,1,5,3,770000
982,Glanmire,1,4,2,475000
983,Douglas,1,3,3,310000
984,Blackrock,1,2,2,295000
985,Blackrock,1,4,3,1500000
986,Donnybrook,1,3,2,190000
987,Togher,1,3,1,215000
988,Ovens,1,3,1,237500
989,Wilton,0,3,1,185000
990,Cork City,1,3,1,960000
991,Rochestown,1,2,1,195000
992,Hollyhill,1,3,2,180000
993,Douglas,1,4,4,425380
994,Ovens,1,3,2,225000
995,Douglas,1,4,2,720000
996,Mahon,1,2,1,112500
997,Glanmire,1,5,2,490000
998,Glanmire,1,2,1,166000
999,Blackrock,1,3,1,347500
1000,Wilton,0,2,2,195000
1001,Ovens,1,3,3,236000
1002,Cork City,1,2,1,165000
1003,Gurranabraher,1,3,1,140000
1004,Passage West,1,4,3,280000
1005,Rochestown,1,3,3,302000
1006,Passage West,1,4,3,275000
1007,Blarney,1,4,2,275000
1008,Douglas,1,3,2,319500
1009,Turners Cross,1,3,2,190000
1010,Rochestown,1,3,3,260000
1011,Ballyvolane,1,3,2,267500
1012,Banduff,1,3,3,243000
1013,Cork City,1,3,2,180000
1014,Donnybrook,1,3,3,280000
1015,Ballinlough,1,3,1,320000
1016,Glanmire,1,3,1,215000
1017,Passage West,1,3,2,245000
1018,Blackrock,1,4,3,1525000
1019,Rochestown,1,5,5,595000
1020,Ballyvolane,1,3,3,170000
1021,Wilton,1,4,2,280000
1022,Wilton,1,5,2,300000
1023,Glanmire,1,4,3,294000
1024,Ballinlough,1,3,2,333000
1025,Waterfall,1,3,2,312500
1026,Douglas,1,3,3,270000
1027,Ovens,1,4,3,335000
1028,Rochestown,1,3,2,350000
1029,Ballintemple,1,2,2,197000
1030,Cork City,1,5,2,150000
1031,Blarney,1,2,2,207000
1032,Douglas,1,3,2,270000
1033,Rochestown,0,2,1,215000
1034,Rochestown,1,3,3,335000
1035,Wilton,0,2,1,219000
1036,Douglas,0,2,2,250000
1037,Glasheen,1,4,2,290000
1038,Rochestown,1,3,3,319000
1039,Passage West,1,2,1,100000
1040,Wilton,0,2,2,215000
1041,Tivoli,1,3,1,230000
1042,Lehenaghmore,1,3,2,268000
1043,Douglas,1,3,1,275000
1044,Bishopstown,1,4,2,413000
1045,Douglas,1,3,2,280000
1046,Waterfall,1,4,3,390000
1047,Ballyphehane,1,3,1,210000
1048,Ballinlough,1,3,1,340000
1049,Glanmire,1,3,3,227000
1050,Rochestown,1,5,5,760000
1051,Glasheen,1,3,1,176000
1052,Glasheen,1,4,2,221000
1053,Bishopstown,1,3,1,327500
1054,Turners Cross,1,3,1,180000
1055,Douglas,0,1,1,172000
1056,Douglas,1,3,1,165000
1057,Mahon,1,2,1,136000
1058,Hollyhill,1,3,1,131000
1059,Turners Cross,1,4,3,320000
1060,Passage West,0,3,3,225000
1061,Cork City,1,3,2,292500
1062,Farranree,1,3,1,195000
1063,Ovens,1,3,1,225000
1064,Ballyphehane,1,4,1,180000
1065,Ballinlough,1,2,1,220000
1066,Montenotte,1,3,2,254779
1067,Bishopstown,1,4,3,375000
1068,Rochestown,0,2,1,220000
1069,Passage West,0,3,3,206000
1070,Douglas,1,3,2,296000
1071,Rochestown,1,3,1,280000
1072,Douglas,1,3,2,286000
1073,Blackrock,1,3,2,250000
1074,Mahon,1,4,1,180000
1075,Hollyhill,1,3,2,100000
1076,Douglas,1,3,3,280000
1077,Ballinlough,1,3,3,345000
1078,Ballinlough,1,2,2,349000
1079,Tivoli,0,2,2,255000
1080,Glanmire,0,3,2,401000
1081,Cork City,1,3,2,269000
1082,Ovens,1,2,2,180000
1083,Cork City,1,3,2,170000
1084,Ovens,1,3,3,230000
1085,Mayfield,1,4,2,180000
1086,Bishopstown,1,4,4,550000
1087,Blackrock,1,3,1,252000
1088,Douglas,1,3,3,260000
1089,Turners Cross,1,3,2,212000
1090,Douglas,1,3,2,443000
1091,Rochestown,1,3,1,252000
1092,Turners Cross,1,3,2,255000
1093,Ballyvolane,1,3,2,253000
1094,Passage West,1,2,3,224000
1095,Ballyvolane,1,3,1,200000
1096,Douglas,1,3,3,240000
1097,Bishopstown,1,4,2,440000
1098,Blackrock,1,3,2,247000
1099,Blackrock,0,2,2,250000
1100,Blarney,1,4,3,217500
1101,Frankfield,1,3,3,306000
1102,Rochestown,1,4,3,620000
1103,Blarney,1,5,5,475000
1104,Blackrock,0,3,2,265000
1105,Little Island,1,3,1,186000
1106,Ovens,1,3,1,310000
1107,Rochestown,1,3,3,317000
